ID;RegioS;Naam_2;SorteringNaam_3;Naam_29;ID;Gemeente;Provincie;Officiële Website (Publieksdienstverlening)
116;GM0397;Heemstede                                         ;Heemstede                                         ;Noord-Holland                                     ;116;Heemstede;Noord-Holland;https://www.heemstede.nl
117;GM0246;Heerde                                            ;Heerde                                            ;Gelderland                                        ;117;Heerde;Gelderland;https://www.heerde.nl
118;GM0074;Heerenveen                                        ;Heerenveen                                        ;Fryslân                                           ;118;Heerenveen;Fryslân;https://www.heerenveen.nl
119;GM0917;Heerlen                                           ;Heerlen                                           ;Limburg                                           ;119;Heerlen;Limburg;https://www.heerlen.nl
120;GM1658;Heeze-Leende                                      ;Heeze+Leende                                      ;Noord-Brabant                                     ;120;Heeze-Leende;Noord-Brabant;https://www.heeze-leende.nl
121;GM0399;Heiloo                                            ;Heiloo                                            ;Noord-Holland                                     ;121;Heiloo;Noord-Holland;https://www.heiloo.nl
122;GM0400;Den Helder                                        ;Helder Den                                        ;Noord-Holland                                     ;122;Den Helder;Noord-Holland;https://www.denhelder.nl
123;GM0163;Hellendoorn                                       ;Hellendoorn                                       ;Overijssel                                        ;123;Hellendoorn;Overijssel;https://www.hellendoorn.nl
124;GM0794;Helmond                                           ;Helmond                                           ;Noord-Brabant                                     ;124;Helmond;Noord-Brabant;https://www.helmond.nl
125;GM0531;Hendrik-Ido-Ambacht                               ;Hendrik+Ido+Ambacht                               ;Zuid-Holland                                      ;125;Hendrik-Ido-Ambacht;Zuid-Holland;https://www.h-i-ambacht.nl
126;GM0164;Hengelo (O.)                                      ;Hengelo (O.)                                      ;Overijssel                                        ;126;Hengelo (O.);Overijssel;https://www.hengelo.nl
127;GM0796;'s-Hertogenbosch                                  ;Hertogenbosch 's-                                 ;Noord-Brabant                                     ;127;'s-Hertogenbosch;Noord-Brabant;https://www.s-hertogenbosch.nl
128;GM0252;Heumen                                            ;Heumen                                            ;Gelderland                                        ;128;Heumen;Gelderland;https://www.heumen.nl
129;GM0797;Heusden                                           ;Heusden                                           ;Noord-Brabant                                     ;129;Heusden;Noord-Brabant;https://www.heusden.nl
130;GM0534;Hillegom                                          ;Hillegom                                          ;Zuid-Holland                                      ;130;Hillegom;Zuid-Holland;https://www.hillegom.nl
131;GM0798;Hilvarenbeek                                      ;Hilvarenbeek                                      ;Noord-Brabant                                     ;131;Hilvarenbeek;Noord-Brabant;https://www.hilvarenbeek.nl
132;GM0402;Hilversum                                         ;Hilversum                                         ;Noord-Holland                                     ;132;Hilversum;Noord-Holland;https://www.hilversum.nl
133;GM1963;Hoeksche Waard                                    ;Hoeksche+Waard                                    ;Zuid-Holland                                      ;133;Hoeksche Waard;Zuid-Holland;https://www.gemeentehw.nl
134;GM1735;Hof van Twente                                    ;Hof van Twente                                    ;Overijssel                                        ;134;Hof van Twente;Overijssel;https://www.hofvantwente.nl
135;GM1966;Het Hogeland                                      ;Hogeland+Het                                      ;Groningen                                         ;135;Het Hogeland;Groningen;https://www.hethogeland.nl
136;GM1911;Hollands Kroon                                    ;Hollands Kroon                                    ;Noord-Holland                                     ;136;Hollands Kroon;Noord-Holland;https://www.hollandskroon.nl
137;GM0118;Hoogeveen                                         ;Hoogeveen                                         ;Drenthe                                           ;137;Hoogeveen;Drenthe;https://www.hoogeveen.nl
138;GM0405;Hoorn                                             ;Hoorn                                             ;Noord-Holland                                     ;138;Hoorn;Noord-Holland;https://www.hoorn.nl
139;GM1507;Horst aan de Maas                                 ;Horst aan de Maas                                 ;Limburg                                           ;139;Horst aan de Maas;Limburg;https://www.horstaandemaas.nl
140;GM0321;Houten                                            ;Houten                                            ;Utrecht                                           ;140;Houten;Utrecht;https://www.houten.nl
141;GM0406;Huizen                                            ;Huizen                                            ;Noord-Holland                                     ;141;Huizen;Noord-Holland;https://www.huizen.nl
142;GM0677;Hulst                                             ;Hulst                                             ;Zeeland                                           ;142;Hulst;Zeeland;https://www.gemeentehulst.nl
143;GM0353;IJsselstein                                       ;IJsselstein                                       ;Utrecht                                           ;143;IJsselstein;Utrecht;https://www.ijsselstein.nl
144;GM1884;Kaag en Braassem                                  ;Kaag                                              ;Zuid-Holland                                      ;144;Kaag en Braassem;Zuid-Holland;https://www.kaagenbraassem.nl
145;GM0166;Kampen                                            ;Kampen                                            ;Overijssel                                        ;145;Kampen;Overijssel;https://www.kampen.nl
146;GM0678;Kapelle                                           ;Kapelle                                           ;Zeeland                                           ;146;Kapelle;Zeeland;https://www.kapelle.nl
147;GM0537;Katwijk                                           ;Katwijk                                           ;Zuid-Holland                                      ;147;Katwijk;Zuid-Holland;https://www.katwijk.nl
148;GM0928;Kerkrade                                          ;Kerkrade                                          ;Limburg                                           ;148;Kerkrade;Limburg;https://www.kerkrade.nl
149;GM1598;Koggenland                                        ;Koggenland                                        ;Noord-Holland                                     ;149;Koggenland;Noord-Holland;https://www.koggenland.nl
