"ID";"RegioS";"Naam_2";"SorteringNaam_3";"Naam_29"
"115";"GM0396    ";"Heemskerk                                         ";"Heemskerk                                         ";"Noord-Holland                                     "
"116";"GM0397    ";"Heemstede                                         ";"Heemstede                                         ";"Noord-Holland                                     "
"117";"GM0246    ";"Heerde                                            ";"Heerde                                            ";"Gelderland                                        "
"118";"GM0074    ";"Heerenveen                                        ";"Heerenveen                                        ";"Fryslân                                           "
"119";"GM0917    ";"Heerlen                                           ";"Heerlen                                           ";"Limburg                                           "
"120";"GM1658    ";"Heeze-Leende                                      ";"Heeze+Leende                                      ";"Noord-Brabant                                     "
"121";"GM0399    ";"Heiloo                                            ";"Heiloo                                            ";"Noord-Holland                                     "
"122";"GM0400    ";"Den Helder                                        ";"Helder Den                                        ";"Noord-Holland                                     "
"123";"GM0163    ";"Hellendoorn                                       ";"Hellendoorn                                       ";"Overijssel                                        "
"124";"GM0794    ";"Helmond                                           ";"Helmond                                           ";"Noord-Brabant                                     "
"125";"GM0531    ";"Hendrik-Ido-Ambacht                               ";"Hendrik+Ido+Ambacht                               ";"Zuid-Holland                                      "
"126";"GM0164    ";"Hengelo (O.)                                      ";"Hengelo (O.)                                      ";"Overijssel                                        "
"127";"GM0796    ";"'s-Hertogenbosch                                  ";"Hertogenbosch 's-                                 ";"Noord-Brabant                                     "
"128";"GM0252    ";"Heumen                                            ";"Heumen                                            ";"Gelderland                                        "
"129";"GM0797    ";"Heusden                                           ";"Heusden                                           ";"Noord-Brabant                                     "
"130";"GM0534    ";"Hillegom                                          ";"Hillegom                                          ";"Zuid-Holland                                      "
"131";"GM0798    ";"Hilvarenbeek                                      ";"Hilvarenbeek                                      ";"Noord-Brabant                                     "
"132";"GM0402    ";"Hilversum                                         ";"Hilversum                                         ";"Noord-Holland                                     "
"133";"GM1963    ";"Hoeksche Waard                                    ";"Hoeksche+Waard                                    ";"Zuid-Holland                                      "
"134";"GM1735    ";"Hof van Twente                                    ";"Hof van Twente                                    ";"Overijssel                                        "
"135";"GM1966    ";"Het Hogeland                                      ";"Hogeland+Het                                      ";"Groningen                                         "
"136";"GM1911    ";"Hollands Kroon                                    ";"Hollands Kroon                                    ";"Noord-Holland                                     "
"137";"GM0118    ";"Hoogeveen                                         ";"Hoogeveen                                         ";"Drenthe                                           "
"138";"GM0405    ";"Hoorn                                             ";"Hoorn                                             ";"Noord-Holland                                     "
"139";"GM1507    ";"Horst aan de Maas                                 ";"Horst aan de Maas                                 ";"Limburg                                           "
